Subject,session,session_rev,Reward,ACC
1,2,0,-1,1
1,2,0,1,0.5
1,3,1,-1,1
1,4,2,-1,1
1,5,3,-1,0.666666667
1,5,3,1,1
1,6,4,-1,1
1,7,5,-1,1
1,7,5,1,1
1,8,6,1,1
1,9,7,-1,1
2,2,0,-1,0.818181818
2,2,0,1,0.666666667
2,3,1,-1,1
2,3,1,1,0.666666667
2,4,2,-1,0.857142857
2,4,2,1,0.5
2,5,3,-1,0.666666667
2,5,3,1,0.666666667
2,6,4,-1,0.666666667
2,6,4,1,0.833333333
2,7,5,-1,1
2,8,6,-1,1
2,8,6,1,0.5
2,9,7,-1,1
2,9,7,1,0.8
3,2,0,-1,0.636363636
3,2,0,1,1
3,3,1,-1,1
3,3,1,1,0.666666667
3,4,2,-1,1
3,4,2,1,1
3,5,3,-1,1
3,6,4,1,1
3,7,5,-1,1
3,7,5,1,1
3,8,6,-1,1
3,9,7,-1,1
3,9,7,1,1
4,2,0,-1,0.857142857
4,2,0,1,0.666666667
4,3,1,-1,1
4,3,1,1,0.666666667
4,4,2,-1,1
4,4,2,1,0.666666667
4,5,3,-1,0.555555556
4,5,3,1,0.642857143
4,6,4,-1,0.714285714
4,6,4,1,0.6
4,7,5,-1,0.75
4,7,5,1,0.833333333
4,8,6,-1,0.375
4,8,6,1,0.833333333
4,9,7,-1,0.833333333
4,9,7,1,0.75
9,2,0,-1,0.818181818
9,2,0,1,0.8
9,3,1,-1,0.666666667
9,3,1,1,0.75
9,4,2,-1,1
9,4,2,1,1
9,5,3,-1,1
9,6,4,-1,1
9,6,4,1,1
9,7,5,1,1
9,8,6,-1,1
9,8,6,1,1
9,9,7,1,1
10,2,0,-1,0.777777778
10,2,0,1,0.75
10,3,1,1,1
10,4,2,-1,1
10,4,2,1,0.5
10,5,3,-1,1
10,5,3,1,0.8
10,6,4,1,1
10,7,5,-1,1
10,7,5,1,1
10,8,6,-1,0.8
10,8,6,1,1
10,9,7,-1,1
10,9,7,1,1
11,2,0,-1,0.875
11,2,0,1,0.875
11,3,1,-1,0.857142857
11,3,1,1,1
11,4,2,-1,0.666666667
11,4,2,1,1
11,5,3,-1,1
11,5,3,1,0.5
11,6,4,-1,0.714285714
11,6,4,1,1
11,7,5,-1,1
11,8,6,-1,1
11,8,6,1,1
11,9,7,-1,1
11,9,7,1,1
12,2,0,-1,0.7
12,2,0,1,0.5
12,3,1,-1,0.583333333
12,3,1,1,0.545454545
12,4,2,-1,1
12,4,2,1,0.857142857
