Subject,session,session_rev,Reward,RT
1,2,0,1,1589
1,2,0,-1,1582
1,3,1,1,1275
1,3,1,-1,1244
1,4,2,1,1216
1,4,2,-1,1239
1,5,3,1,1190
1,5,3,-1,1162
1,6,4,1,1258
1,6,4,-1,1222
1,7,5,1,1344
1,7,5,-1,1218
1,8,6,1,1285
1,8,6,-1,1145
1,9,7,1,1358
1,9,7,-1,1192
2,2,0,1,1314
2,2,0,-1,1327
2,3,1,1,1181
2,3,1,-1,1285
2,4,2,1,1129
2,4,2,-1,1089
2,5,3,1,1261
2,5,3,-1,1260
2,6,4,1,1149
2,6,4,-1,1154
2,7,5,1,1180
2,7,5,-1,1122
2,8,6,1,1119
2,8,6,-1,1120
2,9,7,1,1059
2,9,7,-1,1135
3,2,0,1,1261
3,2,0,-1,1226
3,3,1,1,1238
3,3,1,-1,1286
3,4,2,1,1172
3,4,2,-1,1133
3,5,3,1,1185
3,5,3,-1,1141
3,6,4,1,1195
3,6,4,-1,1134
3,7,5,1,1167
3,7,5,-1,1181
3,8,6,1,1081
3,8,6,-1,1128
3,9,7,1,1014
3,9,7,-1,1047
4,2,0,1,1051
4,2,0,-1,1087
4,3,1,1,1017
4,3,1,-1,1145
4,4,2,1,942
4,4,2,-1,1114
4,5,3,1,926
4,5,3,-1,987
4,6,4,1,800
4,6,4,-1,821
4,7,5,1,911
4,7,5,-1,791
4,8,6,1,860
4,8,6,-1,856
4,9,7,1,746
4,9,7,-1,949
9,2,0,1,1404
9,2,0,-1,1273
9,3,1,1,1398
9,3,1,-1,1440
9,4,2,1,1351
9,4,2,-1,1405
9,5,3,1,1376
9,5,3,-1,1328
9,6,4,1,1295
9,6,4,-1,1464
9,7,5,1,1344
9,7,5,-1,1265
9,8,6,1,1249
9,8,6,-1,1292
9,9,7,1,1297
9,9,7,-1,1298
10,2,0,1,1579
10,2,0,-1,1309
10,3,1,1,1306
10,3,1,-1,1489
10,4,2,1,1359
10,4,2,-1,1432
10,5,3,1,1303
10,5,3,-1,1287
10,6,4,1,1347
10,6,4,-1,1274
10,7,5,1,1195
10,7,5,-1,1211
10,8,6,1,1340
10,8,6,-1,1300
10,9,7,1,1389
10,9,7,-1,1401
11,2,0,1,1426
11,2,0,-1,1547
11,3,1,1,1475
11,3,1,-1,1324
11,4,2,1,1239
11,4,2,-1,1328
11,5,3,1,1378
11,5,3,-1,1196
11,6,4,1,1373
11,6,4,-1,1336
11,7,5,1,1302
11,7,5,-1,1195
11,8,6,1,1384
11,8,6,-1,1385
11,9,7,1,1498
11,9,7,-1,1260
12,2,0,1,1528
12,2,0,-1,1510
12,3,1,1,1593
12,3,1,-1,1590
12,4,2,1,1547
12,4,2,-1,1579
12,5,3,1,1549
12,5,3,-1,1525
12,6,4,1,1216
12,6,4,-1,1526
12,7,5,1,1570
12,7,5,-1,1456
12,8,6,1,1417
12,8,6,-1,1519
12,9,7,1,1380
12,9,7,-1,1593
18,2,0,1,1398
18,2,0,-1,1579
18,3,1,1,1316
18,3,1,-1,1427
18,4,2,1,1496
18,4,2,-1,1390
18,5,3,1,1470
18,5,3,-1,1290
18,6,4,1,1476
18,6,4,-1,1411
18,7,5,1,1461
18,7,5,-1,1397
18,8,6,1,1381
18,8,6,-1,1397
18,9,7,1,1465
18,9,7,-1,1355
19,2,0,1,1302
19,2,0,-1,1382
19,3,1,1,1218
19,3,1,-1,1272
19,4,2,1,1333
19,4,2,-1,1242
19,5,3,1,1260
19,5,3,-1,1250
19,6,4,1,1263
19,6,4,-1,1210
19,7,5,1,1219
19,7,5,-1,1237
19,8,6,1,1224
19,8,6,-1,1292
19,9,7,1,1221
19,9,7,-1,1134
20,2,0,1,1492
20,2,0,-1,1582
20,3,1,1,1442
20,3,1,-1,1375
20,4,2,1,1505
20,4,2,-1,1403
20,5,3,1,1496
20,5,3,-1,1311
20,6,4,1,1368
20,6,4,-1,1263
20,7,5,1,1285
20,7,5,-1,1365
20,8,6,1,1465
20,8,6,-1,1416
20,9,7,1,1056
20,9,7,-1,1418
25,2,0,1,1458
25,2,0,-1,1375
25,3,1,1,961
25,3,1,-1,1115
25,4,2,1,1105
25,4,2,-1,1117
25,5,3,1,989
25,5,3,-1,1181
25,6,4,1,1108
25,6,4,-1,1146
25,7,5,1,1011
25,7,5,-1,1066
25,8,6,1,906
25,8,6,-1,979
25,9,7,1,1064
25,9,7,-1,992
26,2,0,1,1254
26,2,0,-1,1358
26,3,1,1,1279
26,3,1,-1,1295
26,4,2,1,1211
26,4,2,-1,1081
26,5,3,1,1191
26,5,3,-1,1008
26,6,4,1,1018
26,6,4,-1,1090
26,7,5,1,980
26,7,5,-1,1260
26,8,6,1,1083
26,8,6,-1,1092
26,9,7,1,1182
26,9,7,-1,1167
28,2,0,1,1376
28,2,0,-1,1221
28,3,1,1,1281
28,3,1,-1,1367
28,4,2,1,1277
28,4,2,-1,1299
28,5,3,1,1396
28,5,3,-1,1386
28,6,4,1,1250
28,6,4,-1,1214
28,7,5,1,1388
28,7,5,-1,1372
28,8,6,1,1182
28,8,6,-1,1344
28,9,7,1,1273
28,9,7,-1,1257
33,2,0,1,1569
33,2,0,-1,1485
33,3,1,1,1522
33,3,1,-1,1395
33,4,2,1,1317
33,4,2,-1,1280
33,5,3,1,1275
33,5,3,-1,1280
33,6,4,1,1325
33,6,4,-1,1298
33,7,5,1,1246
33,7,5,-1,1285
33,8,6,1,1218
33,8,6,-1,1202
33,9,7,1,1122
33,9,7,-1,1157
34,2,0,1,1412
34,2,0,-1,1359
34,3,1,1,1261
34,3,1,-1,1245
34,4,2,1,1067
34,4,2,-1,1174
34,5,3,1,1169
34,5,3,-1,1086
34,6,4,1,1042
34,6,4,-1,1108
34,7,5,1,1018
34,7,5,-1,1171
34,8,6,1,1039
34,8,6,-1,1148
34,9,7,1,1004
34,9,7,-1,1088
35,2,0,1,1565
35,2,0,-1,1426
35,3,1,1,1402
35,3,1,-1,1347
35,4,2,1,1318
35,4,2,-1,1289
35,5,3,1,1195
35,5,3,-1,1351
35,6,4,1,1031
35,6,4,-1,1120
35,7,5,1,1276
35,7,5,-1,1017
35,8,6,1,1214
35,8,6,-1,1104
35,9,7,1,1199
35,9,7,-1,1039
36,2,0,1,1404
36,2,0,-1,1379
36,3,1,1,1296
36,3,1,-1,1169
36,4,2,1,1190
36,4,2,-1,1354
36,5,3,1,1318
36,5,3,-1,1300
36,6,4,1,1220
36,6,4,-1,1473
36,7,5,1,1225
36,7,5,-1,1412
36,8,6,1,1191
36,8,6,-1,1311
