Subject,session,session_rev,Reward,ACC
1,2,0,-1,0.608695652
1,2,0,1,0.454545455
1,3,1,-1,0.6
1,3,1,1,0.777777778
1,4,2,-1,0.555555556
1,4,2,1,0.857142857
1,5,3,-1,0.882352941
1,5,3,1,0.777777778
1,6,4,-1,1
1,6,4,1,0.823529412
1,7,5,-1,1
1,7,5,1,0.9
1,8,6,-1,1
1,8,6,1,1
1,9,7,-1,1
1,9,7,1,0.888888889
2,2,0,-1,0.5625
2,2,0,1,0.777777778
2,3,1,-1,0.875
2,3,1,1,1
2,4,2,-1,0.625
2,4,2,1,1
2,5,3,-1,1
2,5,3,1,0.941176471
2,6,4,-1,0.85
2,6,4,1,1
2,7,5,-1,1
2,7,5,1,0.933333333
2,8,6,-1,0.909090909
2,8,6,1,0.882352941
2,9,7,-1,0.916666667
2,9,7,1,1
4,2,0,-1,0.666666667
4,2,0,1,0.75
4,3,1,-1,0.944444444
4,3,1,1,0.777777778
4,4,2,-1,0.928571429
4,4,2,1,0.65
4,5,3,-1,0.727272727
4,5,3,1,0.733333333
4,6,4,-1,0.764705882
4,6,4,1,1
4,7,5,-1,0.952380952
4,7,5,1,1
4,8,6,-1,0.777777778
4,8,6,1,1
4,9,7,-1,0.692307692
4,9,7,1,1
5,2,0,-1,0.52
5,2,0,1,0.44
5,3,1,-1,0.555555556
5,3,1,1,0.473684211
5,4,2,-1,0.611111111
5,4,2,1,0.583333333
5,5,3,-1,0.684210526
5,5,3,1,0.705882353
5,6,4,-1,0.821428571
5,6,4,1,0.36
5,7,5,-1,0.75
5,7,5,1,0.4
5,8,6,-1,0.5
5,8,6,1,0.666666667
5,9,7,-1,0.666666667
5,9,7,1,0.625
6,2,0,-1,0.6
6,2,0,1,0.642857143
6,3,1,-1,0.588235294
6,3,1,1,0.80952381
6,4,2,-1,0.8
6,4,2,1,0.625
6,5,3,-1,0.764705882
6,5,3,1,0.666666667
6,6,4,-1,0.885714286
6,6,4,1,0.761904762
6,7,5,-1,0.75
6,7,5,1,0.846153846
6,8,6,-1,0.846153846
6,8,6,1,0.857142857
6,9,7,-1,0.764705882
6,9,7,1,0.8
7,2,0,-1,0.428571429
7,2,0,1,0.733333333
7,3,1,-1,0.727272727
7,3,1,1,0.611111111
7,4,2,-1,0.565217391
7,4,2,1,0.5
7,5,3,-1,0.592592593
7,5,3,1,0.833333333
7,6,4,-1,0.722222222
7,6,4,1,0.823529412
7,7,5,-1,0.8
7,7,5,1,0.9375
7,8,6,-1,0.857142857
7,8,6,1,1
7,9,7,-1,1
7,9,7,1,0.904761905
8,2,0,-1,0.565217391
8,2,0,1,0.55
8,3,1,-1,0.583333333
8,3,1,1,0.416666667
8,4,2,-1,0.6
8,4,2,1,0.2
8,5,3,-1,0.5
8,6,4,-1,0.5
8,6,4,1,0.666666667
8,7,5,-1,0.5
8,7,5,1,0.85
8,8,6,-1,0.722222222
8,8,6,1,0.764705882
8,9,7,-1,0.7
8,9,7,1,0.789473684
9,2,0,-1,0.481481481
9,2,0,1,0.28
9,3,1,-1,0.6
9,3,1,1,0.615384615
9,4,2,-1,0.565217391
9,4,2,1,0.571428571
9,5,3,-1,0.846153846
9,5,3,1,0.705882353
9,6,4,-1,0.722222222
9,6,4,1,0.866666667
9,7,5,-1,0.722222222
9,7,5,1,0.705882353
9,8,6,-1,0.533333333
9,8,6,1,0.789473684
9,9,7,-1,0.833333333
9,9,7,1,0.866666667
10,2,0,-1,0.846153846
10,2,0,1,0.636363636
10,3,1,-1,0.285714286
10,3,1,1,0.6875
10,4,2,-1,0.666666667
10,4,2,1,0.588235294
10,5,3,-1,0.5
10,5,3,1,0.75
10,6,4,-1,0.461538462
10,6,4,1,0.769230769
10,7,5,-1,0.75
10,7,5,1,0.894736842
10,8,6,-1,0.909090909
10,8,6,1,1
10,9,7,-1,0.882352941
10,9,7,1,0.9375
11,2,0,-1,0.5
11,2,0,1,0.875
11,3,1,-1,0.666666667
11,3,1,1,0.95
11,4,2,-1,0.6
11,4,2,1,1
11,5,3,-1,0.727272727
11,5,3,1,0.941176471
11,6,4,-1,0.9
11,6,4,1,0.923076923
11,7,5,-1,0.9
11,7,5,1,1
11,8,6,-1,0.733333333
11,8,6,1,0.933333333
11,9,7,-1,0.911764706
11,9,7,1,1
