Subject,session,session_rev,Reward,ACC
1,2,0,-1,0.638888889
1,2,0,1,0.542857143
1,3,1,-1,0.666666667
1,3,1,1,0.818181818
1,4,2,-1,0.8
1,4,2,1,0.75
1,5,3,-1,0.857142857
1,5,3,1,0.85
1,6,4,-1,0.85
1,6,4,1,1
1,7,5,-1,0.909090909
1,7,5,1,1
1,8,6,-1,1
1,8,6,1,1
1,9,7,-1,1
1,9,7,1,0.888888889
2,2,0,-1,0.615384615
2,2,0,1,0.761904762
2,3,1,-1,0.916666667
2,3,1,1,0.904761905
2,4,2,-1,0.777777778
2,4,2,1,0.933333333
2,5,3,-1,0.947368421
2,5,3,1,1
2,6,4,-1,0.952380952
2,6,4,1,0.882352941
2,7,5,-1,1
2,7,5,1,0.9375
2,8,6,-1,0.916666667
2,8,6,1,0.894736842
2,9,7,-1,0.923076923
2,9,7,1,1
4,2,0,-1,0.5625
4,2,0,1,0.866666667
4,3,1,-1,0.833333333
4,3,1,1,0.909090909
4,4,2,-1,0.764705882
4,4,2,1,0.833333333
4,5,3,-1,0.692307692
4,5,3,1,0.8
4,6,4,-1,0.894736842
4,6,4,1,0.875
4,7,5,-1,1
4,7,5,1,0.947368421
4,8,6,-1,1
4,8,6,1,0.875
4,9,7,-1,0.785714286
4,9,7,1,0.95
5,2,0,-1,0.5
5,2,0,1,0.611111111
5,3,1,-1,0.482758621
5,3,1,1,0.730769231
5,4,2,-1,0.590909091
5,4,2,1,0.666666667
5,5,3,-1,0.769230769
5,5,3,1,0.65
5,6,4,-1,0.48
5,6,4,1,0.58974359
5,7,5,-1,0.56
5,7,5,1,0.423076923
5,8,6,-1,0.620689655
5,8,6,1,0.555555556
5,9,7,-1,0.571428571
5,9,7,1,0.692307692
6,2,0,-1,0.764705882
6,2,0,1,0.52
6,3,1,-1,0.678571429
6,3,1,1,0.730769231
6,4,2,-1,0.684210526
6,4,2,1,0.541666667
6,5,3,-1,0.703703704
6,5,3,1,0.689655172
6,6,4,-1,0.829268293
6,6,4,1,0.833333333
6,7,5,-1,0.846153846
6,7,5,1,0.8125
6,8,6,-1,0.866666667
6,8,6,1,0.869565217
6,9,7,-1,0.761904762
6,9,7,1,0.875
7,2,0,-1,0.541666667
7,2,0,1,0.68
7,3,1,-1,0.653846154
7,3,1,1,0.72
7,4,2,-1,0.511627907
7,4,2,1,0.555555556
7,5,3,-1,0.736842105
7,5,3,1,0.625
7,6,4,-1,0.761904762
7,6,4,1,0.75
7,7,5,-1,1
7,7,5,1,0.833333333
7,8,6,-1,0.954545455
7,8,6,1,0.875
7,9,7,-1,0.9
7,9,7,1,1
8,2,0,-1,0.583333333
8,2,0,1,0.606060606
8,3,1,-1,0.692307692
8,3,1,1,0.555555556
8,4,2,-1,0.409090909
8,4,2,1,0.4
8,5,3,-1,0.571428571
8,5,3,1,1
8,6,4,-1,0.571428571
8,6,4,1,0.583333333
8,7,5,-1,0.733333333
8,7,5,1,0.772727273
8,8,6,-1,0.782608696
8,8,6,1,0.761904762
8,9,7,-1,0.703703704
8,9,7,1,0.769230769
9,2,0,-1,0.381818182
9,2,0,1,0.4375
9,3,1,-1,0.588235294
9,3,1,1,0.512820513
9,4,2,-1,0.55
9,4,2,1,0.611111111
9,5,3,-1,0.888888889
9,5,3,1,0.652173913
9,6,4,-1,0.8
9,6,4,1,0.833333333
9,7,5,-1,0.791666667
9,7,5,1,0.636363636
9,8,6,-1,0.7
9,8,6,1,0.708333333
9,9,7,-1,0.846153846
9,9,7,1,0.888888889
10,2,0,-1,0.69047619
10,2,0,1,0.709677419
10,3,1,-1,0.666666667
10,3,1,1,0.56
10,4,2,-1,0.777777778
10,4,2,1,0.636363636
10,5,3,-1,0.733333333
10,5,3,1,0.5
10,6,4,-1,0.647058824
10,6,4,1,0.7
10,7,5,-1,0.75
10,7,5,1,0.818181818
10,8,6,-1,0.909090909
10,8,6,1,1
