Subject,session,session_rev,Reward,RT
1,2,0,-1,1695.230769
1,2,0,1,1469.454545
1,3,1,-1,1461.444444
1,3,1,1,1498.142857
1,4,2,-1,1519.75
1,4,2,1,1561
1,5,3,-1,1479.75
1,5,3,1,1528.769231
1,6,4,-1,1434.529412
1,6,4,1,1544.066667
1,7,5,-1,1260.9
1,7,5,1,1272.1
1,8,6,-1,1254.227273
1,8,6,1,1273.555556
1,9,7,-1,1163.083333
1,9,7,1,1216.666667
2,2,0,-1,1484.5
2,2,0,1,1334.461538
2,3,1,-1,1357.136364
2,3,1,1,1522.833333
2,4,2,-1,1128.4
2,4,2,1,1469.642857
2,5,3,-1,1413.111111
2,5,3,1,1375.058824
2,6,4,-1,1284
2,6,4,1,1307.266667
2,7,5,-1,1210.642857
2,7,5,1,1085.5
2,8,6,-1,1268.1
2,8,6,1,1154.2
2,9,7,-1,1209.090909
2,9,7,1,1213.055556
4,2,0,-1,1349.428571
4,2,0,1,1177.3
4,3,1,-1,1348.642857
4,3,1,1,1507.882353
4,4,2,-1,1254
4,4,2,1,1337.5
4,5,3,-1,1527.666667
4,5,3,1,1577.307692
4,6,4,-1,1503.461538
4,6,4,1,1415.5
4,7,5,-1,1495.904762
4,7,5,1,1335.444444
4,8,6,-1,1477.142857
4,8,6,1,1116.571429
4,9,7,-1,1347.142857
4,9,7,1,1348.105263
5,2,0,-1,929.6923077
5,2,0,1,834
5,3,1,-1,1086.625
5,3,1,1,1280.727273
5,4,2,-1,867.375
5,4,2,1,919.2
5,5,3,-1,768.5714286
5,5,3,1,680.7272727
5,6,4,-1,991.5
5,6,4,1,991.125
5,7,5,-1,1052.428571
5,7,5,1,935.5
5,8,6,-1,1261.272727
5,8,6,1,1119.666667
5,9,7,-1,973.5454545
5,9,7,1,982.3636364
6,2,0,-1,728.5555556
6,2,0,1,840.2222222
6,3,1,-1,874.4615385
6,3,1,1,986
6,4,2,-1,1000.875
6,4,2,1,779.2
6,5,3,-1,955
6,5,3,1,923.8571429
6,6,4,-1,1024.3125
6,6,4,1,1140.733333
6,7,5,-1,923.1111111
6,7,5,1,930.2727273
6,8,6,-1,1067.416667
6,8,6,1,1050.235294
6,9,7,-1,947.4166667
6,9,7,1,886.2307692
7,2,0,-1,1437.2
7,2,0,1,1612.583333
7,3,1,-1,1699.142857
7,3,1,1,1842.461538
7,4,2,-1,1240.076923
7,4,2,1,1402.8
7,5,3,-1,1485.47619
7,5,3,1,1669.2
7,6,4,-1,1466.785714
7,6,4,1,1352.692308
7,7,5,-1,1066.222222
7,7,5,1,1451.071429
7,8,6,-1,1455.5
7,8,6,1,1555.642857
7,9,7,-1,1399.444444
7,9,7,1,1440.1
8,2,0,-1,1157.071429
8,2,0,1,1185.7
8,3,1,-1,1162.235294
8,3,1,1,1190.857143
8,4,2,-1,996.4
8,4,2,1,1137
8,5,3,-1,374
8,5,3,1,390
8,6,4,-1,688
8,6,4,1,1163
8,7,5,-1,1082
8,7,5,1,1003.866667
8,8,6,-1,1148.923077
8,8,6,1,1298.230769
8,9,7,-1,932
8,9,7,1,1087.823529
9,2,0,-1,1149
9,2,0,1,1270.333333
9,3,1,-1,1340.357143
9,3,1,1,1558.454545
9,4,2,-1,1367.181818
9,4,2,1,1305.214286
9,5,3,-1,1212.75
9,5,3,1,1582.636364
9,6,4,-1,1415.538462
9,6,4,1,1271.230769
9,7,5,-1,1268.266667
9,7,5,1,1520.5
9,8,6,-1,1149.333333
9,8,6,1,1471.857143
9,9,7,-1,1049.666667
9,9,7,1,1351.928571
10,2,0,-1,1041.5
10,2,0,1,1160.916667
10,3,1,-1,911.75
10,3,1,1,784.1111111
10,4,2,-1,1019.6
10,4,2,1,959.75
10,5,3,-1,997.2857143
10,5,3,1,827.2857143
10,6,4,-1,993.2
10,6,4,1,988.0909091
10,7,5,-1,1035.666667
10,7,5,1,934.0588235
10,8,6,-1,809.1111111
10,8,6,1,911.875
10,9,7,-1,748.4375
10,9,7,1,830.8571429
11,2,0,-1,1337.777778
11,2,0,1,1287.5
11,3,1,-1,1157.818182
11,3,1,1,1172.9375
11,4,2,-1,980.5
11,4,2,1,1146.214286
11,5,3,-1,1121.142857
11,5,3,1,1064.117647
11,6,4,-1,1233.466667
11,6,4,1,1241.6
11,7,5,-1,1178.333333
11,7,5,1,1182.2
11,8,6,-1,1006.692308
11,8,6,1,1109
11,9,7,-1,1198.419355
11,9,7,1,1064.388889
12,2,0,-1,2741
12,2,0,1,1225
12,3,1,-1,1004
12,3,1,1,1041
12,4,2,-1,770.6666667
12,4,2,1,1048.5
12,5,3,-1,638.6666667
12,5,3,1,808.8
12,6,4,-1,842
12,6,4,1,1104.25
12,7,5,-1,1380
12,7,5,1,1198.857143
12,8,6,-1,1115
12,8,6,1,1147.777778
12,9,7,-1,965.3333333
12,9,7,1,1586
13,2,0,-1,1250
13,2,0,1,1115.272727
13,3,1,-1,917.6666667
13,3,1,1,1076.555556
13,4,2,-1,1138.4
13,4,2,1,793.4545455
13,5,3,-1,1111.533333
13,5,3,1,1056
13,6,4,-1,1395.411765
13,6,4,1,1218.466667
13,7,5,-1,1462
13,7,5,1,1335
13,8,6,-1,1849.5
13,8,6,1,1272.941176
13,9,7,-1,1222.777778
13,9,7,1,1550.642857
14,2,0,-1,1091.25
14,2,0,1,1149.363636
14,3,1,-1,648.8333333
14,3,1,1,720.0833333
14,4,2,-1,842
14,4,2,1,956
14,5,3,-1,1391.333333
14,5,3,1,1433.416667
14,6,4,-1,1170.433333
14,6,4,1,1244.384615
14,7,5,-1,1166.185185
14,7,5,1,1226.466667
14,8,6,-1,1123
14,8,6,1,1006.882353
14,9,7,-1,1016.115385
14,9,7,1,954.6842105
15,2,0,-1,1091.333333
15,2,0,1,1290.625
15,3,1,-1,1633.05
15,3,1,1,1711.125
15,4,2,-1,1709.444444
15,4,2,1,1660.666667
15,5,3,-1,1516.210526
15,5,3,1,1407.1875
15,6,4,-1,1391.625
15,6,4,1,1752.3125
15,7,5,-1,1766.8
15,7,5,1,1233.083333
15,8,6,-1,1468.692308
15,8,6,1,1486.461538
15,9,7,-1,1466.619048
15,9,7,1,1595.357143
16,2,0,-1,1829.6
16,2,0,1,1807.5
16,3,1,-1,2053.222222
16,3,1,1,1672.333333
16,4,2,-1,1743.15
16,4,2,1,1884
16,5,3,-1,1826.769231
16,5,3,1,1659.882353
16,6,4,-1,1484.730769
16,6,4,1,1586.2
16,7,5,-1,1459.8
16,7,5,1,1405.823529
16,8,6,-1,1420.25
16,8,6,1,1479.3125
16,9,7,-1,1376.333333
16,9,7,1,1291.235294
17,2,0,-1,991
17,2,0,1,782.7
17,3,1,-1,894.0769231
17,3,1,1,855.2727273
17,4,2,-1,946.32
17,4,2,1,911.2142857
17,5,3,-1,976.25
17,5,3,1,846.5294118
17,6,4,-1,939.4666667
17,6,4,1,1197.3125
17,7,5,-1,949.3703704
17,7,5,1,991.1764706
17,8,6,-1,849.7
17,8,6,1,938.4666667
17,9,7,-1,949.0833333
17,9,7,1,962.1176471
18,2,0,-1,500.5
18,2,0,1,547.3333333
18,3,1,-1,1143.9
18,3,1,1,1090.181818
18,4,2,-1,971.1428571
18,4,2,1,941.5714286
18,5,3,-1,1454.25
18,5,3,1,1358.857143
18,6,4,-1,1361.75
18,6,4,1,1363.857143
18,7,5,-1,1178.727273
18,7,5,1,1201.857143
18,8,6,-1,944.7142857
18,8,6,1,1104.6875
18,9,7,-1,1028.352941
18,9,7,1,1155.266667
19,2,0,-1,563.3333333
19,2,0,1,845.75
19,3,1,-1,1092.285714
19,3,1,1,1284.166667
19,4,2,-1,1374.666667
19,4,2,1,1391.857143
19,5,3,-1,1776.090909
19,5,3,1,1466.846154
19,6,4,-1,1561.833333
19,6,4,1,1508.384615
19,7,5,-1,1696.857143
19,7,5,1,1470.923077
19,8,6,-1,1583.5625
19,8,6,1,1569.625
19,9,7,-1,1414.75
19,9,7,1,1459
20,2,0,-1,1604.8125
20,2,0,1,1853.8
20,3,1,-1,1478.444444
20,3,1,1,1557.307692
20,4,2,-1,1358.333333
20,4,2,1,1512.9375
20,5,3,-1,1384.076923
20,5,3,1,1605.642857
20,6,4,-1,1426.625
20,6,4,1,1559
20,7,5,-1,1368.454545
20,7,5,1,1377.611111
20,8,6,-1,1247.25
20,8,6,1,1135.4375
20,9,7,-1,1261.384615
20,9,7,1,1302.05
21,2,0,-1,1649.705882
21,2,0,1,1648.333333
21,3,1,-1,1327.454545
21,3,1,1,1233.9375
21,4,2,-1,1435.333333
21,4,2,1,1621.066667
21,5,3,-1,1437.545455
21,5,3,1,1332
21,6,4,-1,1458.583333
21,6,4,1,1323.210526
21,7,5,-1,1368.5
21,7,5,1,1474
21,8,6,-1,1060
21,8,6,1,1591.928571
21,9,7,-1,916.6
21,9,7,1,1054.142857
22,2,0,-1,1124
22,2,0,1,1089.714286
22,3,1,-1,1150.428571
22,3,1,1,1054.1875
22,4,2,-1,1035.357143
22,4,2,1,1139.571429
22,5,3,-1,1106.7
22,5,3,1,1019.615385
22,6,4,-1,1097.533333
22,6,4,1,1026.636364
22,7,5,-1,1180.357143
22,7,5,1,1058.555556
22,8,6,-1,1098.565217
22,8,6,1,1247.083333
22,9,7,-1,1253.923077
22,9,7,1,1079.428571
23,2,0,-1,764
23,2,0,1,613.5454545
23,3,1,-1,1053.9
23,3,1,1,844.3
23,4,2,-1,1068.5
23,4,2,1,1335.8
23,5,3,-1,1370
23,5,3,1,1579.333333
23,6,4,-1,1490.25
23,6,4,1,1212.7
23,7,5,-1,1460.166667
23,7,5,1,1119.529412
23,8,6,-1,1358
23,8,6,1,1404.75
23,9,7,-1,1341.352941
23,9,7,1,1379
24,2,0,-1,895.5
24,2,0,1,949
24,3,1,-1,455
24,3,1,1,768
24,4,2,-1,1266.176471
24,4,2,1,1128.769231
24,5,3,-1,1559
24,5,3,1,1198
24,6,4,-1,1176.666667
24,6,4,1,1344.666667
24,7,5,-1,1270.384615
24,7,5,1,1059.375
24,8,6,-1,1214.333333
24,8,6,1,1210.5
24,9,7,-1,1132.666667
24,9,7,1,1309.555556
25,2,0,-1,1681
25,2,0,1,1475.7
25,3,1,-1,1624.615385
25,3,1,1,1771.111111
25,4,2,-1,1625.833333
25,4,2,1,1676.333333
25,5,3,-1,1503.6875
25,5,3,1,1447.818182
25,6,4,-1,1659.7
25,6,4,1,1480.769231
25,7,5,-1,1541.111111
25,7,5,1,1268.153846
25,8,6,-1,1700.7
25,8,6,1,1556.444444
25,9,7,-1,1694.769231
25,9,7,1,1797.066667
26,2,0,-1,878.7
26,2,0,1,995.4
26,3,1,-1,1208
26,3,1,1,1377.125
26,4,2,-1,1391.428571
26,4,2,1,1357.818182
26,5,3,-1,1350.3
26,5,3,1,1477.692308
26,6,4,-1,1060.411765
26,6,4,1,1131.923077
26,7,5,-1,1177.6875
26,7,5,1,1220.846154
26,8,6,-1,1445.607143
26,8,6,1,1483.875
26,9,7,-1,1582
26,9,7,1,1400.529412
27,2,0,-1,1141.571429
27,2,0,1,1215.125
27,3,1,-1,1015.222222
27,3,1,1,927.7777778
27,4,2,-1,952.125
27,4,2,1,1050.5
27,5,3,-1,922.0909091
27,5,3,1,931.5384615
27,6,4,-1,1000.153846
27,6,4,1,905.6
27,7,5,-1,990.0666667
27,7,5,1,990.4117647
27,8,6,-1,874.8
27,8,6,1,869.3333333
27,9,7,-1,914.875
27,9,7,1,951.375
28,2,0,-1,1855.4
28,2,0,1,1518.375
28,3,1,-1,1322.818182
28,3,1,1,1645.375
28,4,2,-1,1178.095238
28,4,2,1,1484.615385
28,5,3,-1,1386.533333
28,5,3,1,1667.333333
28,6,4,-1,1086.882353
28,6,4,1,1371.882353
28,7,5,-1,1040.464286
28,7,5,1,1112
28,8,6,-1,1193.904762
28,8,6,1,1131.285714
28,9,7,-1,1303.176471
28,9,7,1,1188.47619
29,2,0,-1,1294.777778
29,2,0,1,1015.1
29,3,1,-1,1086.2
29,3,1,1,1141.7
29,4,2,-1,1392.411765
29,4,2,1,1408.285714
29,5,3,-1,1584.05
29,5,3,1,1566.769231
29,6,4,-1,1399.166667
29,6,4,1,1225.4
29,7,5,-1,1302.272727
29,7,5,1,1281.357143
29,8,6,-1,1032.444444
29,8,6,1,1109.5
29,9,7,-1,1079.666667
29,9,7,1,983.3529412
30,2,0,-1,733.7
30,2,0,1,848.625
30,3,1,-1,750
30,3,1,1,490
30,4,2,-1,879
30,4,2,1,971.25
30,5,3,-1,1115.75
30,5,3,1,911
30,6,4,-1,822.6666667
30,6,4,1,1321.1
30,7,5,-1,1231.181818
30,7,5,1,1099.928571
30,8,6,-1,1483.4375
30,8,6,1,1321.866667
30,9,7,-1,1447.1
30,9,7,1,1213.857143
31,2,0,-1,902.3333333
31,2,0,1,729.5714286
31,3,1,-1,918.5
31,3,1,1,1027.222222
31,4,2,-1,765.875
31,4,2,1,880.8181818
31,5,3,-1,963
31,5,3,1,973.5833333
31,6,4,-1,1000.75
31,6,4,1,1236.416667
31,7,5,-1,910.1111111
31,7,5,1,1019.9
31,8,6,-1,1355.666667
31,8,6,1,997.3846154
31,9,7,-1,1206.75
31,9,7,1,1244.454545
32,2,0,-1,943.4285714
32,2,0,1,1241.285714
32,3,1,-1,976.3636364
32,3,1,1,925.6666667
32,4,2,-1,990.6666667
32,4,2,1,1117.5
32,5,3,-1,1084.5
32,5,3,1,1233.818182
32,6,4,-1,1165.307692
32,6,4,1,1270.818182
32,7,5,-1,1387.642857
32,7,5,1,1268.571429
32,8,6,-1,1485.941176
32,8,6,1,1663.083333
32,9,7,-1,1352.588235
32,9,7,1,1461.4375
35,2,0,-1,1164.7
35,2,0,1,1234.5
35,3,1,-1,1079.818182
35,3,1,1,1372.090909
35,4,2,-1,1095.363636
35,4,2,1,1311
35,5,3,-1,1323.375
35,5,3,1,1234.5
35,6,4,-1,1343.0625
35,6,4,1,1260.8
35,7,5,-1,1139.222222
35,7,5,1,1288
35,8,6,-1,1325.142857
35,8,6,1,1157.266667
35,9,7,-1,1156.133333
35,9,7,1,1037.357143
33,2,0,-1,1348.625
33,2,0,1,914.6363636
33,3,1,-1,1115.375
33,3,1,1,1223.571429
33,4,2,-1,1341.222222
33,4,2,1,1139.083333
33,5,3,-1,1358.733333
33,5,3,1,1265.357143
33,6,4,-1,1315.736842
33,6,4,1,1235.705882
33,7,5,-1,1197.954545
33,7,5,1,1158.133333
33,8,6,-1,1082.555556
33,8,6,1,1257.882353
33,9,7,-1,1366.153846
33,9,7,1,1447.8125
34,2,0,-1,1183.333333
34,2,0,1,1623
34,3,1,-1,1824.5
34,3,1,1,1368.6
34,4,2,-1,1488.666667
34,4,2,1,1500.307692
34,5,3,-1,1308.285714
34,5,3,1,1489
34,6,4,-1,1548.75
34,6,4,1,1551.6
34,7,5,-1,1204
34,7,5,1,1261.5
34,8,6,-1,1305.25
34,8,6,1,1448.666667
34,9,7,-1,1495.875
34,9,7,1,1446.3
38,2,0,-1,1296.181818
38,2,0,1,1365.666667
38,3,1,-1,954.5454545
38,3,1,1,1122.307692
38,4,2,-1,1189.230769
38,4,2,1,1281.384615
38,5,3,-1,950.8571429
38,5,3,1,909.8947368
38,6,4,-1,916
38,6,4,1,1058.642857
38,7,5,-1,1096.3
38,7,5,1,1016.235294
38,8,6,-1,1067
38,8,6,1,1093.8125
38,9,7,-1,870.2307692
38,9,7,1,963.1666667
39,2,0,-1,1217.714286
39,2,0,1,1124.571429
39,3,1,-1,1369.571429
39,3,1,1,1169
39,4,2,-1,1257.666667
39,4,2,1,1318.625
39,5,3,-1,1276
39,5,3,1,1341.8
39,6,4,-1,1247.296296
39,6,4,1,1199
39,7,5,-1,1245.166667
39,7,5,1,1127.1875
39,8,6,-1,1234.222222
39,8,6,1,1039.461538
39,9,7,-1,1114.076923
39,9,7,1,1402.285714
40,2,0,-1,1232.777778
40,2,0,1,1287.666667
40,3,1,-1,1063.692308
40,3,1,1,1087.7
40,4,2,-1,1518.684211
40,4,2,1,1601.625
40,5,3,-1,1432.571429
40,5,3,1,1404.9
40,6,4,-1,1572.5625
40,6,4,1,1312.5625
40,7,5,-1,1359.1
40,7,5,1,1372.733333
40,8,6,-1,1254.25
40,8,6,1,1331.315789
40,9,7,-1,1397.238095
40,9,7,1,1248.75
41,2,0,-1,1106
41,2,0,1,1283.444444
41,3,1,-1,856.7777778
41,3,1,1,953.125
41,4,2,-1,783.2222222
41,4,2,1,919.5
41,5,3,-1,873.5
41,5,3,1,901
41,6,4,-1,924.6086957
41,6,4,1,967.75
41,7,5,-1,857.6666667
41,7,5,1,1176.909091
41,8,6,-1,774.125
41,8,6,1,1091
41,9,7,-1,1075.409091
41,9,7,1,908.1578947
42,2,0,-1,939
42,2,0,1,1257.75
42,3,1,-1,989.3636364
42,3,1,1,991
42,4,2,-1,882.7368421
42,4,2,1,890
42,5,3,-1,876.3636364
42,5,3,1,914.0666667
42,6,4,-1,930.7692308
42,6,4,1,897.375
42,7,5,-1,893.6521739
42,7,5,1,893.1176471
42,8,6,-1,720.4
42,8,6,1,809.7333333
42,9,7,-1,828.2307692
42,9,7,1,879.25
43,2,0,-1,893.1
43,2,0,1,934.8
43,3,1,-1,1210.875
43,3,1,1,1454.5
43,4,2,-1,1551
43,4,2,1,1519.571429
43,5,3,-1,1282.533333
43,5,3,1,1210.8
43,6,4,-1,1592.153846
43,6,4,1,1311
43,7,5,-1,1659.8125
43,7,5,1,1310.6
43,8,6,-1,2086.2
43,8,6,1,1733.583333
43,9,7,-1,1798
43,9,7,1,1599.4
44,2,0,-1,978.8181818
44,2,0,1,972
44,3,1,-1,830.1818182
44,3,1,1,807.2
44,4,2,-1,976.7142857
44,4,2,1,762.4166667
44,5,3,-1,886.8461538
44,5,3,1,847.2727273
44,6,4,-1,918.375
44,6,4,1,892
44,7,5,-1,727.75
44,7,5,1,808.2352941
44,8,6,-1,780.5
44,8,6,1,815.625
44,9,7,-1,806.4
44,9,7,1,901
45,2,0,-1,1259
45,2,0,1,1873
45,3,1,-1,1415.909091
45,3,1,1,1219.375
45,4,2,-1,1178.692308
45,4,2,1,1031.692308
45,5,3,-1,1129.2
45,5,3,1,1286.714286
45,6,4,-1,1527.25
45,6,4,1,1258.583333
45,7,5,-1,1298
45,7,5,1,1457.625
45,8,6,-1,1265.153846
45,8,6,1,1394.461538
45,9,7,-1,1443.222222
45,9,7,1,1181
46,2,0,-1,1429
46,2,0,1,845.5
46,3,1,-1,1320.727273
46,3,1,1,1371.666667
46,4,2,-1,1424.125
