Subject,session,session_rev,Reward,RT
1,2,0,-1,1605.571429
1,2,0,1,1572.4
1,3,1,-1,1640.888889
1,3,1,1,1382.785714
1,4,2,-1,1548.4
1,4,2,1,1552.5
1,5,3,-1,1520.4
1,5,3,1,1481.714286
1,6,4,-1,1441.166667
1,6,4,1,1543.357143
1,7,5,-1,1338.727273
1,7,5,1,1178.222222
1,8,6,-1,1322.409091
1,8,6,1,1190.222222
1,9,7,-1,1334
1,9,7,1,1095.8125
2,2,0,-1,1458.555556
2,2,0,1,1361.857143
2,3,1,-1,1349.238095
2,3,1,1,1522.842105
2,4,2,-1,1312.2
2,4,2,1,1404
2,5,3,-1,1417.210526
2,5,3,1,1367.8125
2,6,4,-1,1254.941176
2,6,4,1,1336.6875
2,7,5,-1,1075.071429
2,7,5,1,1221.071429
2,8,6,-1,1134
2,8,6,1,1333
2,9,7,-1,1188.727273
2,9,7,1,1225.5
4,2,0,-1,991.5
4,2,0,1,1476.333333
4,3,1,-1,1391
4,3,1,1,1490.571429
4,4,2,-1,1189.846154
4,4,2,1,1408.076923
4,5,3,-1,1307.875
4,5,3,1,1746.181818
4,6,4,-1,1223.384615
4,6,4,1,1675.571429
4,7,5,-1,1412.2
4,7,5,1,1432
4,8,6,-1,1221.714286
4,8,6,1,1244.285714
4,9,7,-1,1221.444444
4,9,7,1,1414.764706
5,2,0,-1,902.9230769
5,2,0,1,865.6363636
5,3,1,-1,1176.9
5,3,1,1,1223.555556
5,4,2,-1,840.2727273
5,4,2,1,984
5,5,3,-1,667.0769231
5,5,3,1,798
5,6,4,-1,917.0434783
5,6,4,1,1181.111111
5,7,5,-1,896.7777778
5,7,5,1,1130
5,8,6,-1,1238.5
5,8,6,1,1170.25
5,9,7,-1,914.0833333
5,9,7,1,1054.6
6,2,0,-1,756.5555556
6,2,0,1,812.2222222
6,3,1,-1,874.2
6,3,1,1,966.4705882
6,4,2,-1,1004.875
6,4,2,1,776
6,5,3,-1,1040.230769
6,5,3,1,858.5
6,6,4,-1,1093.709677
6,6,4,1,999
6,7,5,-1,1049.444444
6,7,5,1,826.9090909
6,8,6,-1,1076.363636
6,8,6,1,1045.722222
6,9,7,-1,954.9230769
6,9,7,1,873
7,2,0,-1,1464.833333
7,2,0,1,1613.454545
7,3,1,-1,1843.5625
7,3,1,1,1658.454545
7,4,2,-1,1364
7,4,2,1,1241.7
7,5,3,-1,1452.1875
7,5,3,1,1643.466667
7,6,4,-1,1232.461538
7,6,4,1,1578.428571
7,7,5,-1,1763
7,7,5,1,1053.8
7,8,6,-1,1530.333333
7,8,6,1,1459.428571
7,9,7,-1,1398.842105
7,9,7,1,1442.842105
8,2,0,-1,1231.923077
8,2,0,1,1094.636364
8,3,1,-1,1289.642857
8,3,1,1,1003.9
8,4,2,-1,1142.833333
8,4,2,1,399
8,5,3,-1,382
8,6,4,-1,808
8,6,4,1,1143
8,7,5,-1,1266.2
8,7,5,1,958.8823529
8,8,6,-1,1141.230769
8,8,6,1,1305.923077
8,9,7,-1,1133.142857
8,9,7,1,920.8666667
9,2,0,-1,1210.076923
9,2,0,1,1191.571429
9,3,1,-1,1616.222222
9,3,1,1,1335.125
9,4,2,-1,1572
9,4,2,1,1073
9,5,3,-1,1558.818182
9,5,3,1,1234.583333
9,6,4,-1,1403.076923
9,6,4,1,1283.692308
9,7,5,-1,1368
9,7,5,1,1370.416667
9,8,6,-1,1365.125
9,8,6,1,1335.266667
9,9,7,-1,1304.6
9,9,7,1,1179.076923
10,2,0,-1,1124.636364
10,2,0,1,1013.214286
10,3,1,-1,976.5
10,3,1,1,795.5454545
10,4,2,-1,1145.75
10,4,2,1,870.8
10,5,3,-1,1177.4
10,5,3,1,765
10,6,4,-1,1006
10,6,4,1,979.9
10,7,5,-1,1053.166667
10,7,5,1,927.8823529
10,8,6,-1,1029.2
10,8,6,1,772
10,9,7,-1,798.4666667
10,9,7,1,775.3333333
11,2,0,-1,1440.714286
11,2,0,1,1243.214286
11,3,1,-1,1232.875
11,3,1,1,1138.947368
11,4,2,-1,1097
11,4,2,1,1096.285714
11,5,3,-1,1113.125
11,5,3,1,1064.5625
11,6,4,-1,1286.055556
11,6,4,1,1164.75
11,7,5,-1,1234.555556
11,7,5,1,1131.6
11,8,6,-1,1125.636364
11,8,6,1,1000.928571
11,9,7,-1,1159.096774
11,9,7,1,1132.111111
12,2,0,1,1477.666667
12,3,1,-1,1078.5
12,3,1,1,988.8
12,4,2,-1,894
12,4,2,1,1000.818182
12,5,3,-1,879.6666667
12,5,3,1,664.2
12,6,4,-1,1053.142857
12,6,4,1,1027.444444
12,7,5,-1,1310.6
12,7,5,1,1277.666667
12,8,6,-1,1265
12,8,6,1,1080
12,9,7,-1,1381
12,9,7,1,1437.142857
13,2,0,-1,1413.875
13,2,0,1,939.6666667
13,3,1,-1,1072.428571
13,3,1,1,844
13,4,2,-1,1047.2
13,4,2,1,834.9090909
13,5,3,-1,1112
13,5,3,1,1064.076923
13,6,4,-1,1383.555556
13,6,4,1,1221.071429
13,7,5,-1,1569.090909
13,7,5,1,1234.615385
13,8,6,-1,1490.333333
13,8,6,1,1653.235294
13,9,7,-1,1605
13,9,7,1,1281.846154
14,2,0,-1,929.375
14,2,0,1,1267.090909
14,3,1,-1,580.2
14,3,1,1,758.9285714
14,4,2,-1,877.5
14,4,2,1,984.6666667
14,5,3,-1,1518.444444
14,5,3,1,1338.083333
14,6,4,-1,1150.533333
14,6,4,1,1290.307692
14,7,5,-1,1141.962963
14,7,5,1,1270.066667
14,8,6,-1,1047.636364
14,8,6,1,1104.411765
14,9,7,-1,954.8148148
14,9,7,1,1043.222222
15,2,0,-1,1332.5
15,2,0,1,1120.8
15,3,1,-1,1573.095238
15,3,1,1,1800.266667
15,4,2,-1,1864.8
15,4,2,1,1624.3125
15,5,3,-1,1481.526316
15,5,3,1,1448.375
15,6,4,-1,1624.875
15,6,4,1,1635.6875
15,7,5,-1,1269.8
15,7,5,1,1440.166667
15,8,6,-1,1482.071429
15,8,6,1,1472.333333
15,9,7,-1,1593.571429
15,9,7,1,1404.928571
16,2,0,-1,1603.8
16,2,0,1,1995.666667
16,3,1,-1,1832.083333
16,3,1,1,1840.222222
16,4,2,-1,1858.952381
16,4,2,1,1693.083333
16,5,3,-1,1864.88
16,5,3,1,1616.222222
16,6,4,-1,1573
16,6,4,1,1433.2
16,7,5,-1,1422.818182
16,7,5,1,1427.875
16,8,6,-1,1438.571429
16,8,6,1,1457.6
16,9,7,-1,1307.909091
16,9,7,1,1337.777778
17,2,0,-1,882.75
17,2,0,1,879
17,3,1,-1,924.5862069
