Subject,LRT,RRT,RTMax,Lacc,Racc,Bacc,PrevAcc,Block,SubTrial,Lstim,Rstim,Stim1,Stim2,S-Chord,CResp1,CResp2,Resp1,Resp2,R-Chord,RewardType,AfterRew,Rmapping,Trial 1,BadTime,Repeat,Async,ChordType,Useable,RewMag
1,0,40,40,0,0,0,0,1,1,Face1.jpg,Face8.jpg,1,8,18,q,p,1,8,18,W, ,1,1,1,0,1,M,0,60
1,1818,1840,1840,0,0,0,0,1,2,Face2.jpg,Face5.jpg,2,5,25,w,u,2,5,25,R, ,1,0,0,0,1,SI,0,160
1,0,40,40,0,0,0,0,1,3,Face1.jpg,Face5.jpg,1,5,15,q,u,1,5,15,U,1,1,0,1,0,1,SC,0,50
1,1272,1277,1277,1,0,0,0,1,4,Face1.jpg,Face6.jpg,1,6,16,q,i,1,6,16,R,0,1,0,0,0,1,SI,0,180
1,1501,1395,1501,1,1,1,0,1,5,Face4.jpg,Face7.jpg,4,7,47,r,o,4,7,47,U,1,1,0,0,0,0,SI,0,200
1,2279,2301,2301,0,1,0,1,1,6,Face3.jpg,Face6.jpg,3,6,36,e,i,3,6,36,W,0,1,0,1,0,1,M,0,100
1,1247,1237,1247,0,1,0,0,1,7,Face3.jpg,Face7.jpg,3,7,37,e,o,3,7,37,R, ,1,0,0,0,1,SC,0,160
1,1611,1761,1761,0,1,0,0,1,8,Face2.jpg,Face5.jpg,2,5,25,w,u,2,5,25,R,1,1,0,0,0,0,SI,0,140
1,1254,1244,1254,1,1,1,0,1,9,Face4.jpg,Face8.jpg,4,8,48,r,p,4,8,48,R,1,1,0,0,0,1,SC,0,100
1,1888,1846,1888,1,0,0,1,1,10,Face2.jpg,Face8.jpg,2,8,28,w,p,2,8,28,W,1,1,0,0,0,1,SI,0,130
1,1782,1788,1788,1,1,1,0,1,11,Face1.jpg,Face7.jpg,1,7,17,q,o,1,7,17,W, ,1,0,0,0,1,SI,0,200
1,2064,2022,2064,0,0,0,1,1,12,Face3.jpg,Face6.jpg,3,6,36,e,i,3,6,36,W, ,1,0,1,0,1,M,0,190
1,1459,1465,1465,1,1,1,0,1,13,Face4.jpg,Face5.jpg,4,5,45,r,u,4,5,45,W, ,1,0,0,0,1,M,0,180
1,1884,1874,1884,0,1,0,1,1,14,Face2.jpg,Face5.jpg,2,5,25,w,u,2,5,25,R, ,1,0,0,0,1,SI,0,90
1,1834,1872,1872,0,0,0,0,1,15,Face3.jpg,Face7.jpg,3,7,37,e,o,3,7,37,R,1,1,0,0,0,1,SC,0,140
1,1532,1522,1532,1,1,1,0,1,16,Face1.jpg,Face5.jpg,1,5,15,q,u,1,5,15,U,1,1,0,0,0,1,SC,0,200
1,2038,2060,2060,1,1,1,1,1,17,Face1.jpg,Face5.jpg,1,5,15,q,u,1,5,15,U,0,1,0,1,1,1,SC,0,150
1,1455,1477,1477,1,1,1,1,1,18,Face1.jpg,Face8.jpg,1,8,18,q,p,1,8,18,W,0,1,0,0,0,1,M,1,50
1,2201,2031,2201,0,1,0,1,1,19,Face2.jpg,Face8.jpg,2,8,28,w,p,2,8,28,W, ,1,0,1,0,0,SI,0,70
1,1599,1621,1621,0,1,0,0,1,20,Face1.jpg,Face5.jpg,1,5,15,q,u,1,5,15,U, ,1,0,0,0,1,SC,0,130
1,1643,1635,1643,1,1,1,0,1,21,Face4.jpg,Face7.jpg,4,7,47,r,o,4,7,47,U,0,1,0,0,0,1,SI,0,120
1,1668,1658,1668,1,1,1,1,1,22,Face3.jpg,Face7.jpg,3,7,37,e,o,3,7,37,R,0,1,0,0,0,1,SC,1,100
1,2094,2084,2094,1,1,1,1,1,23,Face4.jpg,Face7.jpg,4,7,47,r,o,4,7,47,U,1,1,0,1,0,1,SI,0,130
1,1703,1741,1741,1,1,1,1,1,24,Face4.jpg,Face8.jpg,4,8,48,r,p,4,8,48,R,0,1,0,0,0,1,SC,1,140
1,1425,1431,1431,1,1,1,1,1,25,Face4.jpg,Face5.jpg,4,5,45,r,u,4,5,45,W,1,1,0,0,0,1,M,1,200
1,2122,2176,2176,1,1,1,1,1,26,Face1.jpg,Face5.jpg,1,5,15,q,u,1,5,15,U, ,1,0,1,0,1,SC,0,150
1,2020,2010,2020,1,0,0,1,1,27,Face1.jpg,Face6.jpg,1,6,16,q,i,1,6,16,R,0,1,0,1,0,1,SI,0,90
1,2478,2548,2548,0,0,0,0,1,28,Face3.jpg,Face6.jpg,3,6,36,e,i,3,6,36,W,1,1,0,1,0,1,M,0,70
1,1341,1347,1347,1,1,1,0,1,29,Face3.jpg,Face6.jpg,3,6,36,e,i,3,6,36,W, ,1,0,0,1,1,M,0,120
1,1447,1469,1469,1,1,1,1,1,30,Face3.jpg,Face5.jpg,3,5,35,e,u,3,5,35,W, ,1,0,0,0,1,SI,1,200
1,1696,1686,1696,1,1,1,1,1,31,Face2.jpg,Face7.jpg,2,7,27,w,o,2,7,27,W, ,1,0,0,0,1,M,1,50
1,1546,1568,1568,1,1,1,1,1,32,Face4.jpg,Face5.jpg,4,5,45,r,u,4,5,45,W, ,1,0,0,0,1,M,1,160
1,1571,1593,1593,0,1,0,1,1,33,Face2.jpg,Face8.jpg,2,8,28,w,p,2,8,28,W, ,1,0,0,0,1,SI,0,110
1,1795,1785,1795,0,1,0,0,1,34,Face1.jpg,Face7.jpg,1,7,17,q,o,1,7,17,W, ,1,0,0,0,1,SI,0,180
1,1392,1382,1392,1,1,1,0,1,35,Face4.jpg,Face7.jpg,4,7,47,r,o,4,7,47,U, ,1,0,0,0,1,SI,0,160
1,2090,2048,2090,0,1,0,1,1,36,Face1.jpg,Face5.jpg,1,5,15,q,u,1,5,15,U,0,1,0,1,0,1,SC,0,190
1,1292,1314,1314,1,1,1,0,1,37,Face1.jpg,Face8.jpg,1,8,18,q,p,1,8,18,W,0,1,0,0,0,1,M,0,150
1,1142,1164,1164,1,1,1,1,1,38,Face1.jpg,Face8.jpg,1,8,18,q,p,1,8,18,W, ,1,0,0,1,1,M,0,120
1,2319,2309,2319,1,1,1,1,1,39,Face3.jpg,Face6.jpg,3,6,36,e,i,3,6,36,W, ,1,0,1,0,1,M,0,100
1,1817,1807,1817,1,1,1,1,1,40,Face3.jpg,Face6.jpg,3,6,36,e,i,3,6,36,W, ,1,0,0,1,1,M,0,110
1,2146,2120,2146,1,1,1,1,1,41,Face3.jpg,Face6.jpg,3,6,36,e,i,3,6,36,W, ,1,0,1,1,1,M,0,50
1,1244,1266,1266,1,1,1,1,1,42,Face1.jpg,Face8.jpg,1,8,18,q,p,1,8,18,W, ,1,0,0,0,1,M,1,190
1,1926,1899,1926,1,1,1,1,1,43,Face3.jpg,Face7.jpg,3,7,37,e,o,3,7,37,R, ,1,0,0,0,1,SC,1,140
1,1519,1509,1519,1,1,1,1,1,44,Face1.jpg,Face7.jpg,1,7,17,q,o,1,7,17,W,1,1,0,0,0,1,SI,1,180
1,1433,1503,1503,1,1,1,1,1,45,Face4.jpg,Face8.jpg,4,8,48,r,p,4,8,48,R, ,1,0,0,0,1,SC,1,190
1,1970,1960,1970,1,1,1,1,1,46,Face2.jpg,Face6.jpg,2,6,26,w,i,2,6,26,U,1,1,0,0,0,1,SC,1,90
