Subject,Sex,rmapping,CB,RT,Acc,Block,Subtrial,F1,F2,Resp,Chord,CResp,RewardType,Rewarded,PrevReward,AfterReward,PrevAcc,GoodFast,Repeats,Useable,Reward,Qchord,Qconf,QRecall,QRespQ,Composite Awareness
1,1,1,1,0,0,1,1,Face4.jpg,Face8.jpg,,48,1,0,0,0,0,1,0,0,0,0,,,,,0.708333333
1,1,1,1,1048,1,1,2,Face1.jpg,Face5.jpg,2,15,2,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1212,1,1,3,Face1.jpg,Face5.jpg,2,15,2,0,0,0,0,1,1,1,0,0,,,,,0.708333333
1,1,1,1,1518,0,1,4,Face3.jpg,Face8.jpg,1,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1325,1,1,5,Face1.jpg,Face7.jpg,1,17,1,1,0,1,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1172,1,1,6,Face1.jpg,Face5.jpg,2,15,2,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,2421,1,1,7,Face3.jpg,Face6.jpg,1,36,1,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1261,0,1,8,Face3.jpg,Face8.jpg,1,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1352,1,1,9,Face3.jpg,Face8.jpg,2,38,2,1,0,1,0,0,1,1,0,1,,,,,0.708333333
1,1,1,1,1561,0,1,10,Face4.jpg,Face6.jpg,1,46,2,1,0,1,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1637,0,1,11,Face2.jpg,Face7.jpg,1,27,2,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1134,1,1,12,Face3.jpg,Face8.jpg,2,38,2,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1806,0,1,13,Face2.jpg,Face7.jpg,1,27,2,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,645,0,1,14,Face3.jpg,Face6.jpg,2,36,1,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,2254,0,1,15,Face4.jpg,Face8.jpg,2,48,1,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,3294,0,1,16,Face1.jpg,Face5.jpg,1,15,2,0,0,0,0,0,0,0,0,0,,,,,0.708333333
1,1,1,1,2030,1,1,17,Face1.jpg,Face5.jpg,2,15,2,0,0,0,0,0,1,1,0,0,,,,,0.708333333
1,1,1,1,818,0,1,18,Face2.jpg,Face5.jpg,2,25,1,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1344,1,1,19,Face1.jpg,Face5.jpg,2,15,2,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1854,0,1,20,Face4.jpg,Face8.jpg,2,48,1,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,2111,0,1,21,Face4.jpg,Face6.jpg,1,46,2,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,791,0,1,22,Face4.jpg,Face8.jpg,2,48,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,2673,1,1,23,Face1.jpg,Face7.jpg,1,17,1,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,2052,0,1,24,Face4.jpg,Face6.jpg,1,46,2,1,0,1,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,3141,0,1,25,Face2.jpg,Face7.jpg,1,27,2,0,0,1,0,0,0,0,0,0,,,,,0.708333333
1,1,1,1,1135,1,1,26,Face1.jpg,Face5.jpg,2,15,2,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,3005,1,1,27,Face3.jpg,Face8.jpg,2,38,2,1,0,0,0,1,0,0,0,1,,,,,0.708333333
1,1,1,1,2021,0,1,28,Face4.jpg,Face8.jpg,2,48,1,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,3062,1,1,29,Face4.jpg,Face8.jpg,1,48,1,0,0,0,0,0,0,1,0,0,,,,,0.708333333
1,1,1,1,2411,0,1,30,Face1.jpg,Face7.jpg,2,17,1,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,960,0,1,31,Face2.jpg,Face5.jpg,2,25,1,1,0,1,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1431,1,1,32,Face4.jpg,Face8.jpg,1,48,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,2034,1,1,33,Face3.jpg,Face8.jpg,2,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,2114,1,1,34,Face3.jpg,Face6.jpg,1,36,1,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1759,1,1,35,Face3.jpg,Face8.jpg,2,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1976,0,1,36,Face4.jpg,Face6.jpg,1,46,2,1,0,1,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1842,1,1,37,Face3.jpg,Face6.jpg,1,36,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1511,1,1,38,Face3.jpg,Face8.jpg,2,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1120,1,1,39,Face2.jpg,Face5.jpg,1,25,1,1,0,1,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,2404,1,1,40,Face4.jpg,Face6.jpg,2,46,2,1,0,1,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1222,0,1,41,Face4.jpg,Face6.jpg,1,46,2,1,0,1,0,1,1,1,0,1,,,,,0.708333333
1,1,1,1,1378,1,1,42,Face4.jpg,Face8.jpg,1,48,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,2044,0,1,43,Face3.jpg,Face6.jpg,2,36,1,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,2173,1,1,44,Face4.jpg,Face6.jpg,2,46,2,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1984,1,1,45,Face1.jpg,Face5.jpg,2,15,2,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1539,0,1,46,Face2.jpg,Face7.jpg,1,27,2,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1319,1,1,47,Face2.jpg,Face7.jpg,2,27,2,0,0,0,0,0,1,1,0,0,,,,,0.708333333
1,1,1,1,1636,0,1,48,Face1.jpg,Face7.jpg,2,17,1,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1323,0,1,49,Face4.jpg,Face6.jpg,1,46,2,1,0,1,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1958,1,1,50,Face2.jpg,Face5.jpg,1,25,1,1,0,1,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1369,0,1,51,Face4.jpg,Face8.jpg,2,48,1,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1329,0,1,52,Face2.jpg,Face5.jpg,2,25,1,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,2568,1,1,53,Face4.jpg,Face8.jpg,1,48,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,4374,1,1,54,Face4.jpg,Face6.jpg,2,46,2,1,0,0,0,1,0,0,0,1,,,,,0.708333333
1,1,1,1,1938,0,1,55,Face3.jpg,Face6.jpg,2,36,1,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1625,0,1,56,Face2.jpg,Face5.jpg,2,25,1,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1422,0,1,57,Face1.jpg,Face7.jpg,2,17,1,1,0,1,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1157,1,1,58,Face1.jpg,Face5.jpg,2,15,2,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1195,0,1,59,Face3.jpg,Face6.jpg,2,36,1,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1402,0,1,60,Face1.jpg,Face7.jpg,2,17,1,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1041,1,1,61,Face1.jpg,Face5.jpg,2,15,2,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1173,0,1,62,Face4.jpg,Face6.jpg,1,46,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1009,0,1,63,Face2.jpg,Face7.jpg,1,27,2,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1782,1,1,64,Face3.jpg,Face6.jpg,1,36,1,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1411,1,1,65,Face1.jpg,Face5.jpg,2,15,2,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,2241,1,1,66,Face3.jpg,Face6.jpg,1,36,1,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1482,1,1,67,Face3.jpg,Face6.jpg,1,36,1,0,0,0,0,1,1,1,0,0,,,,,0.708333333
1,1,1,1,1249,1,1,68,Face3.jpg,Face8.jpg,2,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,3469,0,1,69,Face1.jpg,Face7.jpg,2,17,1,1,0,1,0,1,0,0,0,1,,,,,0.708333333
1,1,1,1,1380,0,1,70,Face4.jpg,Face8.jpg,2,48,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,950,1,1,71,Face4.jpg,Face8.jpg,1,48,1,0,0,0,0,0,1,1,0,0,,,,,0.708333333
1,1,1,1,1431,1,1,72,Face4.jpg,Face6.jpg,2,46,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,4072,1,1,73,Face1.jpg,Face7.jpg,1,17,1,1,0,1,0,1,0,0,0,1,,,,,0.708333333
1,1,1,1,2162,1,1,74,Face2.jpg,Face7.jpg,2,27,2,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,2328,0,1,75,Face3.jpg,Face8.jpg,1,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,4083,0,2,1,Face4.jpg,Face8.jpg,2,48,1,0,0,1,0,0,0,0,0,0,,,,,0.708333333
1,1,1,1,1993,1,2,2,Face2.jpg,Face7.jpg,2,27,2,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1329,1,2,3,Face1.jpg,Face5.jpg,2,15,2,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1041,0,2,4,Face3.jpg,Face8.jpg,1,38,2,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1178,0,2,5,Face2.jpg,Face7.jpg,1,27,2,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1414,0,2,6,Face3.jpg,Face6.jpg,2,36,1,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,2872,1,2,7,Face2.jpg,Face7.jpg,2,27,2,0,0,0,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1943,1,2,8,Face4.jpg,Face8.jpg,1,48,1,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,2652,1,2,9,Face1.jpg,Face7.jpg,1,17,1,1,1,0,0,1,1,0,1,130,,,,,0.708333333
1,1,1,1,2241,0,2,10,Face4.jpg,Face6.jpg,1,46,2,1,0,1,1,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1255,1,2,11,Face4.jpg,Face6.jpg,2,46,2,1,1,1,0,0,1,1,0,90,,,,,0.708333333
1,1,1,1,1728,0,2,12,Face2.jpg,Face5.jpg,2,25,1,1,0,1,1,1,1,0,1,1,,,,,0.708333333
1,1,1,1,3556,1,2,13,Face3.jpg,Face8.jpg,2,38,2,1,0,1,0,0,0,0,0,1,,,,,0.708333333
1,1,1,1,1442,0,2,14,Face2.jpg,Face7.jpg,1,27,2,0,0,1,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,3400,0,2,15,Face1.jpg,Face5.jpg,1,15,2,0,0,0,0,0,0,0,0,0,,,,,0.708333333
1,1,1,1,1726,1,2,16,Face3.jpg,Face8.jpg,2,38,2,1,1,0,0,0,1,0,0,130,,,,,0.708333333
1,1,1,1,1398,0,2,17,Face2.jpg,Face5.jpg,2,25,1,1,0,1,1,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1233,0,2,18,Face4.jpg,Face8.jpg,2,48,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1398,1,2,19,Face2.jpg,Face5.jpg,1,25,1,1,1,0,0,0,1,0,0,70,,,,,0.708333333
1,1,1,1,1266,1,2,20,Face3.jpg,Face6.jpg,1,36,1,0,0,1,1,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1997,1,2,21,Face2.jpg,Face7.jpg,2,27,2,0,0,0,0,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1157,1,2,22,Face2.jpg,Face7.jpg,2,27,2,0,0,0,0,1,1,1,0,0,,,,,0.708333333
1,1,1,1,1458,1,2,23,Face1.jpg,Face7.jpg,1,17,1,1,1,0,0,1,1,0,1,70,,,,,0.708333333
1,1,1,1,1158,1,2,24,Face2.jpg,Face5.jpg,1,25,1,1,1,1,1,1,1,0,1,60,,,,,0.708333333
1,1,1,1,1635,0,2,25,Face2.jpg,Face7.jpg,1,27,2,0,0,1,1,1,1,0,1,0,,,,,0.708333333
1,1,1,1,1867,0,2,26,Face4.jpg,Face6.jpg,1,46,2,1,0,0,0,0,1,0,0,1,,,,,0.708333333
1,1,1,1,1750,1,2,27,Face3.jpg,Face6.jpg,1,36,1,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1242,0,2,28,Face1.jpg,Face7.jpg,2,17,1,1,0,0,0,1,1,0,1,1,,,,,0.708333333
1,1,1,1,1322,1,2,29,Face1.jpg,Face5.jpg,2,15,2,0,0,1,0,0,1,0,0,0,,,,,0.708333333
1,1,1,1,1413,1,2,30,Face2.jpg,Face7.jpg,2,27,2,0,0,0,0,1,1,0,1,0,,,,,0.708333333
